"ID";"Lake_name";"geometry"
"58319731";"Volksparkteich";"POLYGON ((13.10241 52.41451, 13.10247 52.41455, 13.10258 52.41452, 13.10264 52.4145, 13.10273 52.41448, 13.10281 52.41447, 13.10291 52.41442, 13.10297 52.4144, 13.10297 52.41435, 13.10294 52.41431, 13.10282 52.41429, 13.10269 52.4143, 13.10263 52.41427, 13.10251 52.4143, 13.10238 52.4143, 13.10231 52.41434, 13.10221 52.41428, 13.10207 52.41428, 13.10191 52.41431, 13.10186 52.41435, 13.1018 52.41436, 13.10177 52.4144, 13.10179 52.41445, 13.1019 52.4145, 13.102 52.41453, 13.10211 52.41457, 13.10226 52.4146, 13.10232 52.41457, 13.10232 52.41453, 13.10228 52.41451, 13.10228 52.41448, 13.10233 52.41447, 13.10241 52.41451))"
"5831911";"Eichelmatenteiche";"MULTIPOLYGON (((13.14736 52.46045, 13.14738 52.46045, 13.1474 52.46044, 13.14742 52.46043, 13.14743 52.46043, 13.14742 52.46039, 13.1474 52.46037, 13.14739 52.46035, 13.14737 52.46033, 13.14736 52.46032, 13.14734 52.4603, 13.14732 52.46028, 13.14728 52.46027, 13.14726 52.46026, 13.14722 52.46027, 13.14719 52.46028, 13.14717 52.46029, 13.14714 52.4603, 13.14718 52.46036, 13.14721 52.46039, 13.14724 52.46042, 13.14729 52.46044, 13.14732 52.46045, 13.14734 52.46045, 13.14736 52.46045), (13.14716 52.46024, 13.14719 52.46023, 13.14721 52.46021, 13.14718 52.46017, 13.14713 52.46014, 13.14708 52.46011, 13.14704 52.46007, 13.14702 52.46005, 13.14698 52.46004, 13.14696 52.46006, 13.14693 52.46007, 13.14691 52.46008, 13.14694 52.46012, 13.14696 52.46015, 13.14697 52.46016, 13.14699 52.46018, 13.147 52.4602, 13.14701 52.46021, 13.14702 52.46022, 13.14704 52.46023, 13.14705 52.46025, 13.14707 52.46025, 13.1471 52.46027, 13.14713 52.46025, 13.14716 52.46024)))"
"58524473";"Stadtbruchteich";"POLYGON ((13.16956 52.59078, 13.16953 52.59082, 13.16951 52.59087, 13.16956 52.59088, 13.16959 52.5909, 13.1697 52.59089, 13.16973 52.59091, 13.16982 52.59093, 13.16984 52.59092, 13.16994 52.59092, 13.16996 52.59092, 13.16997 52.59094, 13.17004 52.59094, 13.17006 52.59093, 13.17006 52.59094, 13.17013 52.59097, 13.17017 52.59096, 13.17021 52.59096, 13.17025 52.59096, 13.1703 52.59096, 13.1703 52.59099, 13.17034 52.59101, 13.17038 52.59103, 13.17044 52.59106, 13.17049 52.59103, 13.17046 52.59101, 13.1705 52.59098, 13.17057 52.59098, 13.17062 52.59091, 13.17057 52.59086, 13.1705 52.59083, 13.17042 52.59084, 13.17035 52.59083, 13.17028 52.59082, 13.17026 52.59079, 13.17023 52.59078, 13.17016 52.59077, 13.17013 52.59073, 13.1701 52.59073, 13.17008 52.59068, 13.17004 52.59066, 13.17002 52.59066, 13.16996 52.59067, 13.16992 52.59067, 13.16988 52.59062, 13.16984 52.59059, 13.16981 52.5906, 13.16976 52.59061, 13.1697 52.59062, 13.16966 52.59065, 13.16963 52.59068, 13.16963 52.5907, 13.16962 52.59073, 13.16959 52.59075, 13.16956 52.59078))"
"5831922211";"Krummes Fenn";"POLYGON ((13.23025 52.42532, 13.23026 52.42533, 13.2303 52.42531, 13.23039 52.4253, 13.23049 52.42527, 13.2306 52.42521, 13.23065 52.42518, 13.23069 52.42514, 13.23071 52.4251, 13.23073 52.425, 13.23073 52.42495, 13.23074 52.42492, 13.23076 52.42489, 13.23079 52.42486, 13.23084 52.42484, 13.23098 52.42481, 13.23106 52.4248, 13.2311 52.42477, 13.23112 52.42473, 13.23111 52.42468, 13.23111 52.42466, 13.23111 52.42463, 13.23114 52.42459, 13.23132 52.42445, 13.23135 52.42441, 13.23135 52.42438, 13.23133 52.42435, 13.2313 52.42432, 13.23123 52.42426, 13.23118 52.42421, 13.23115 52.42416, 13.23114 52.42408, 13.23116 52.42405, 13.23119 52.42401, 13.23123 52.42397, 13.23131 52.42391, 13.23142 52.42386, 13.23149 52.42384, 13.23157 52.42383, 13.23165 52.42381, 13.23174 52.42377, 13.23178 52.42374, 13.23181 52.4237, 13.23182 52.42367, 13.23181 52.42365, 13.2318 52.42364, 13.23178 52.42363, 13.23177 52.42363, 13.23176 52.42364, 13.23174 52.42365, 13.23173 52.42366, 13.2317 52.42368, 13.23168 52.4237, 13.23162 52.42372, 13.23157 52.42374, 13.23152 52.42375, 13.23146 52.42375, 13.23135 52.42378, 13.23118 52.42383, 13.23109 52.42386, 13.23104 52.42389, 13.23099 52.42393, 13.23096 52.42397, 13.23084 52.42414, 13.23076 52.42421, 13.23073 52.42423, 13.2307 52.42426, 13.23069 52.42428, 13.23069 52.42431, 13.23071 52.42435, 13.23077 52.42447, 13.23078 52.42452, 13.23078 52.42456, 13.23076 52.42464, 13.23073 52.42469, 13.23069 52.42473, 13.23066 52.42476, 13.23049 52.4249, 13.23044 52.42494, 13.23037 52.42501, 13.2303 52.42509, 13.23027 52.42516, 13.23025 52.42521, 13.23025 52.42526, 13.23027 52.4253, 13.23025 52.42532))"
"5831922113";"Waldsee Zehlendorf";"MULTIPOLYGON (((13.23455 52.44122, 13.23472 52.4411, 13.23466 52.44108, 13.2346 52.44105, 13.23451 52.44101, 13.23441 52.44095, 13.23429 52.44087, 13.23424 52.44081, 13.23422 52.44078, 13.23418 52.44072, 13.23413 52.44063, 13.23408 52.44056, 13.23403 52.44051, 13.23397 52.44046, 13.23389 52.44039, 13.23381 52.44031, 13.23368 52.44023, 13.23362 52.44023, 13.23352 52.44022, 13.23347 52.44021, 13.2334 52.4402, 13.23331 52.44016, 13.23325 52.44017, 13.23324 52.44017, 13.23307 52.44015, 13.233 52.44014, 13.23294 52.44013, 13.23287 52.4401, 13.23282 52.44006, 13.23281 52.44004, 13.23278 52.44, 13.23272 52.43987, 13.23268 52.4398, 13.23268 52.43975, 13.23266 52.43966, 13.23262 52.43959, 13.23257 52.43955, 13.23251 52.43949, 13.23244 52.43943, 13.23238 52.43939, 13.23235 52.43938, 13.23232 52.43938, 13.23231 52.4394, 13.23231 52.43943, 13.23227 52.43947, 13.23227 52.43951, 13.23228 52.4396, 13.23229 52.43965, 13.2323 52.43971, 13.2323 52.43976, 13.23231 52.43985, 13.2323 52.43988, 13.23229 52.43992, 13.23227 52.43997, 13.23225 52.44004, 13.23223 52.4401, 13.23224 52.44016, 13.23231 52.44024, 13.23235 52.44029, 13.23244 52.44034, 13.23264 52.44045, 13.23268 52.44046, 13.23273 52.44047, 13.2328 52.44049, 13.23287 52.4405, 13.23296 52.44053, 13.23303 52.44055, 13.2331 52.44059, 13.23316 52.44063, 13.2332 52.44066, 13.23327 52.44073, 13.23332 52.44078, 13.23349 52.44093, 13.23355 52.44095, 13.23359 52.44095, 13.23364 52.4409, 13.23368 52.44088, 13.23372 52.44088, 13.23375 52.44089, 13.23383 52.44092, 13.2339 52.441, 13.23397 52.44108, 13.23399 52.4411, 13.23406 52.44112, 13.23414 52.44113, 13.23414 52.44115, 13.23416 52.44115, 13.23422 52.44116, 13.23425 52.44116, 13.23427 52.44116, 13.23429 52.44115, 13.23431 52.44115, 13.23443 52.44115, 13.2345 52.44118, 13.23455 52.44122), (13.23479 52.44112, 13.2346 52.44125, 13.2347 52.4413, 13.23477 52.44133, 13.23485 52.44134, 13.23495 52.44135, 13.23499 52.44135, 13.23514 52.44138, 13.23517 52.44139, 13.23528 52.44143, 13.23541 52.44149, 13.23549 52.44154, 13.23554 52.44159, 13.23556 52.44161, 13.23567 52.4417, 13.2357 52.44174, 13.23577 52.44188, 13.2358 52.44198, 13.23583 52.44214, 13.23585 52.44224, 13.23587 52.44229, 13.23588 52.44232, 13.23594 52.44241, 13.23599 52.44246, 13.23607 52.44252, 13.23621 52.44258, 13.23624 52.44261, 13.23626 52.44264, 13.23627 52.44266, 13.2363 52.44271, 13.2363 52.44278, 13.2363 52.44288, 13.23632 52.44306, 13.23633 52.44309, 13.23637 52.44313, 13.23641 52.44316, 13.23645 52.44318, 13.2366 52.44321, 13.23667 52.44321, 13.2367 52.4432, 13.23673 52.44319, 13.23676 52.44319, 13.23679 52.44316, 13.23685 52.44312, 13.23688 52.44308, 13.2369 52.44301, 13.23693 52.44297, 13.23698 52.44292, 13.23705 52.44289, 13.23707 52.44289, 13.23713 52.44285, 13.23722 52.44283, 13.23728 52.44279, 13.23729 52.44277, 13.2373 52.44272, 13.23727 52.44264, 13.23722 52.44258, 13.23714 52.44251, 13.23711 52.44248, 13.2371 52.44248, 13.23706 52.44244, 13.23702 52.44238, 13.23701 52.44234, 13.23701 52.44225, 13.23701 52.44215, 13.237 52.44208, 13.23694 52.442, 13.23692 52.44199, 13.23684 52.44192, 13.23678 52.44188, 13.2367 52.44183, 13.23663 52.44179, 13.2366 52.44176, 13.23654 52.44171, 13.23647 52.44164, 13.23646 52.4416, 13.23641 52.4415, 13.23636 52.44144, 13.23635 52.44143, 13.23625 52.44135, 13.23619 52.44133, 13.23613 52.4413, 13.23597 52.44125, 13.23589 52.44124, 13.23583 52.44124, 13.23579 52.44123, 13.23573 52.44119, 13.23569 52.44111, 13.2356 52.44107, 13.23553 52.44105, 13.23539 52.44104, 13.23522 52.44106, 13.23498 52.44111, 13.23491 52.44113, 13.23479 52.44112), (13.23455 52.44122, 13.2346 52.44125, 13.23479 52.44112, 13.23472 52.4411, 13.23455 52.44122)))"
"58196268851";"Scheringteich";"POLYGON ((13.28799 52.64186, 13.28798 52.64187, 13.28798 52.64187, 13.28798 52.64188, 13.28797 52.64188, 13.28797 52.6419, 13.28797 52.64192, 13.28796 52.64193, 13.28796 52.64194, 13.28796 52.64195, 13.28796 52.64196, 13.28796 52.64197, 13.28796 52.64198, 13.28797 52.64203, 13.28797 52.64204, 13.28797 52.64204, 13.28797 52.64205, 13.28798 52.64205, 13.28798 52.64206, 13.28799 52.64206, 13.288 52.64206, 13.28801 52.64207, 13.28802 52.64207, 13.28806 52.64207, 13.28808 52.64207, 13.28809 52.64207, 13.2881 52.64207, 13.28814 52.64207, 13.28815 52.64206, 13.28816 52.64206, 13.28817 52.64206, 13.28818 52.64206, 13.28819 52.64205, 13.2882 52.64205, 13.2882 52.64204, 13.28821 52.64203, 13.28821 52.64202, 13.28821 52.64201, 13.28821 52.642, 13.28821 52.64198, 13.28821 52.64197, 13.28821 52.64196, 13.28821 52.64194, 13.28821 52.64193, 13.28821 52.64191, 13.28821 52.6419, 13.28821 52.6419, 13.28821 52.64189, 13.28821 52.64188, 13.28821 52.64188, 13.2882 52.64187, 13.28819 52.64186, 13.28818 52.64186, 13.28817 52.64186, 13.28809 52.64184, 13.28808 52.64184, 13.28807 52.64184, 13.28806 52.64184, 13.28805 52.64184, 13.28804 52.64184, 13.28803 52.64184, 13.28802 52.64185, 13.28801 52.64185, 13.288 52.64185, 13.28799 52.64186, 13.28799 52.64186))"
"58329651";"Siepeteich";"POLYGON ((13.24928 52.41621, 13.2493 52.41625, 13.24932 52.41629, 13.24937 52.41632, 13.24946 52.41635, 13.24954 52.41637, 13.24964 52.41638, 13.24971 52.41637, 13.24978 52.41637, 13.24985 52.41635, 13.2499 52.41631, 13.24993 52.41626, 13.24993 52.4162, 13.24993 52.41616, 13.24994 52.41614, 13.24998 52.4161, 13.25002 52.4161, 13.25005 52.41609, 13.25008 52.41608, 13.25008 52.41607, 13.25007 52.41605, 13.25005 52.41604, 13.24997 52.41603, 13.24981 52.41602, 13.24969 52.41601, 13.24961 52.41601, 13.24952 52.41601, 13.24945 52.41601, 13.24941 52.41602, 13.24937 52.41604, 13.24929 52.4161, 13.24927 52.41613, 13.24927 52.41618, 13.24928 52.41621))"
"583192212121721";"Pücklerteich";"POLYGON ((13.27284 52.46658, 13.27279 52.4666, 13.27273 52.46665, 13.27272 52.4667, 13.27273 52.4668, 13.27276 52.46684, 13.27279 52.46688, 13.27289 52.46702, 13.27295 52.46707, 13.27302 52.46713, 13.27316 52.46722, 13.27322 52.46727, 13.27326 52.46729, 13.27329 52.4673, 13.27336 52.46731, 13.27343 52.46731, 13.27349 52.46729, 13.27352 52.46727, 13.27356 52.46722, 13.27365 52.46722, 13.27377 52.46729, 13.27386 52.46732, 13.27393 52.46736, 13.27395 52.46739, 13.27394 52.46744, 13.27401 52.46743, 13.27398 52.46732, 13.27388 52.46725, 13.27376 52.46719, 13.27356 52.46717, 13.27357 52.46706, 13.27359 52.46698, 13.27356 52.4669, 13.27355 52.46685, 13.27351 52.4668, 13.27347 52.46675, 13.27341 52.4667, 13.27334 52.46664, 13.27328 52.46661, 13.27322 52.46658, 13.27317 52.46657, 13.27312 52.46655, 13.27305 52.46655, 13.273 52.46655, 13.27296 52.46655, 13.27292 52.46655, 13.27287 52.46657, 13.27284 52.46658))"
"58319221215";"Dreipfuhl";"POLYGON ((13.27273 52.4478, 13.27272 52.44785, 13.27275 52.44794, 13.27282 52.44802, 13.27293 52.44809, 13.27306 52.44813, 13.27321 52.44814, 13.27331 52.44812, 13.27343 52.44806, 13.27348 52.44797, 13.27349 52.44789, 13.27346 52.4478, 13.27342 52.44775, 13.27325 52.44759, 13.27316 52.44749, 13.27307 52.44737, 13.27302 52.44729, 13.27297 52.44716, 13.2728 52.44691, 13.2727 52.44682, 13.27257 52.44673, 13.2724 52.44663, 13.2722 52.44657, 13.27206 52.44657, 13.27187 52.44665, 13.27179 52.44674, 13.27177 52.4468, 13.27176 52.44683, 13.2718 52.44682, 13.27186 52.44693, 13.27182 52.44694, 13.27188 52.44698, 13.27197 52.44703, 13.27217 52.44711, 13.27239 52.44719, 13.27257 52.44723, 13.27271 52.44728, 13.27281 52.44734, 13.27289 52.44743, 13.27294 52.44752, 13.27296 52.44757, 13.27295 52.44762, 13.27289 52.44767, 13.2728 52.44772, 13.27273 52.4478))"
"58196268859";"Fürstenteich";"POLYGON ((13.2984 52.63172, 13.29839 52.63173, 13.29838 52.63173, 13.29837 52.63173, 13.29837 52.63174, 13.29836 52.63174, 13.29836 52.63175, 13.29836 52.63176, 13.29836 52.63176, 13.29835 52.63183, 13.29835 52.63184, 13.29835 52.63185, 13.29836 52.63186, 13.29836 52.63187, 13.29837 52.63189, 13.29838 52.6319, 13.29839 52.63191, 13.2984 52.63192, 13.29841 52.63192, 13.29842 52.63193, 13.29843 52.63194, 13.29844 52.63194, 13.29845 52.63195, 13.29847 52.63195, 13.29848 52.63195, 13.29849 52.63195, 13.29862 52.63196, 13.29863 52.63196, 13.29864 52.63196, 13.29866 52.63196, 13.29867 52.63196, 13.29868 52.63196, 13.29869 52.63195, 13.2987 52.63195, 13.2987 52.63194, 13.29871 52.63194, 13.29871 52.63193, 13.29871 52.63192, 13.29871 52.63192, 13.29871 52.63191, 13.29871 52.6319, 13.29867 52.63182, 13.29865 52.63181, 13.29864 52.63179, 13.29863 52.63178, 13.29861 52.63176, 13.29856 52.63173, 13.29855 52.63173, 13.29854 52.63172, 13.29853 52.63172, 13.29852 52.63172, 13.29851 52.63171, 13.2985 52.63171, 13.2984 52.63172))"
