Label,URI,Comment
GDIM GDProperty,https://w3id.org/ad4gd/model/gdProperty,The AD4GD - Green Deal Information Model (GDIM) is the common vocabulary in AD4GD project providing the basis for semantic interoperability across solutions related to the green deal domain
is controlled by device,https://saref.etsi.org/core/isControlledByDevice,A relationship specifying the devices that can control a certain property
is measured by device,https://saref.etsi.org/core/isMeasuredByDevice,A relationship specifying the devices that can measure a certain property
relates to measurement,https://saref.etsi.org/core/relatesToMeasurement,A relationship between a property and the measurements it relates to
is measured in,https://saref.etsi.org/core/isMeasuredIn,A relationship identifying the unit of measure used for a certain entity.
relates to property,https://saref.etsi.org/core/relatesToProperty,A relationship between a measurement and the property it relates to
makes measurement,https://saref.etsi.org/core/makesMeasurement,"A relation between a device and the measurements it makes. Such measurement will link together the value of the measurement, its unit of measure and the property to which it relates."
measurement made by,https://saref.etsi.org/core/measurementMadeBy,Relation between a measurement and the device that made it.
controls property,https://saref.etsi.org/core/controlsProperty,A relationship specifying the Property that can be controlled by a certain Device
measures property,https://saref.etsi.org/core/measuresProperty,A relationship specifying the Property that can be measured by a certain Device
has feature of interest,https://saref.etsi.org/core/hasFeatureOfInterest,Relation between a measurement and the feature of interest being measured.
is feature of interest of,https://saref.etsi.org/core/isFeatureOfInterestOf,Relation betwwen a feature of interest and the measurments that are about it.
has property,https://saref.etsi.org/core/hasProperty,Relation between a feature of interest and its properties.
is property of,https://saref.etsi.org/core/isPropertyOf,Relation between a property and a feature of interest in which such property appears.
has value,https://saref.etsi.org/core/hasValue,"A relationship defining the value of a certain property, e.g., energy or power"
temperature,https://smartdatamodels.org/dataModel.Weather/temperature,Temperature of the item. Prev: The observed air temperature (in the shade) nominally in degrees centigrade.
date observed,https://smartdatamodels.org/dateObserved,Date of the observed entity defined by the user
weatherType,https://smartdatamodels.org/dataModel.Weather/weatherType,"Text description of the weather. Prev: The observed weather type. It is represented by a comma separated list of weather statuses, for instance overcast, lightRain."
dewPoint,https://smartdatamodels.org/dataModel.Weather/dewPoint,The dew point encoded as a number. Observed temperature to which air must be cooled to become saturated with water vapor
visibility,https://smartdatamodels.org/dataModel.Weather/visibility,"Categories of visibility. Prev: Visibility reported (veryPoor, poor, moderate, good, veryGood, excellent)"
airTemperatureForecast,https://smartdatamodels.org/dataModel.Weather/airTemperatureForecast,Forecasted value of air temperature over a certain duration in future
relativeHumidity,https://smartdatamodels.org/dataModel.Weather/relativeHumidity,Humidity in the Air. Observed instantaneous relative humidity (water vapour in air)
precipitation,https://smartdatamodels.org/dataModel.Weather/precipitation,Amount of water rain registered. Units:'Liters per square meter'
windDirection,https://smartdatamodels.org/dataModel.Weather/windDirection,Direction of the wind bet
windSpeed,https://smartdatamodels.org/dataModel.Weather/windSpeed,Intensity of the wind.
atmosphericPressure,https://smartdatamodels.org/dataModel.Weather/atmosphericPressure,The atmospheric pressure observed measured in Hecto Pascals. Units:'Hecto pascals'
pressureTendency,https://smartdatamodels.org/dataModel.Weather/pressureTendency,"Is the pressure rising or falling? It can be expressed in quantitative terms or qualitative terms (raising, falling, steady)"
solarRadiation,https://smartdatamodels.org/dataModel.Weather/solarRadiation,The solar radiation observed measured in Watts per square. Units:'w/m2'
illuminance,https://smartdatamodels.org/dataModel.Weather/illuminance,The illumninance observed measured in lux (lx) or lumens per square metre (cd·sr·m−2)
streamGauge,https://smartdatamodels.org/dataModel.Weather/streamGauge,"The water level surface elevation observed by Hydrometric measurement sensors, namely a Stream Gauge expressed in centimeters. Units:'centimeters'"
snowHeight,https://smartdatamodels.org/dataModel.Weather/snowHeight,"The snow height observed by generic snow depth measurement sensors, expressed in centimeters. Units:'centimeters'"
flow,https://smartdatamodels.org/dataModel.Environment/flow,Water Flow observed. The unit code (text) of measurement given using the UN/CEFACAT
waterLevel,https://smartdatamodels.org/dataModel.Environment/waterLevel,Current water level corresponding to this observation. The unit code (text) of measurement given using the UN/CEFACT Common Codes (max. 3 characters)
waveLength,https://smartdatamodels.org/dataModel.Environment/waveLength,Wave Length observed
swellDirection,https://smartdatamodels.org/dataModel.Environment/swellDirection,Swells Direction observed
swellHeight,https://smartdatamodels.org/dataModel.Environment/swellHeight,Swells height observed
swellPeriod,https://smartdatamodels.org/dataModel.Environment/swellPeriod,Swells period observed
Al,https://smartdatamodels.org/dataModel.WaterQuality/Al,Aluminium. Concentration of aluminium
As,https://smartdatamodels.org/dataModel.WaterQuality/As,Arsenic. Concentration of Arsenic
B,https://smartdatamodels.org/dataModel.WaterQuality/B,Boron. Concentration of Boron
Ba,https://smartdatamodels.org/dataModel.WaterQuality/Ba,Barium. Concentration of Barium
Cd,https://smartdatamodels.org/dataModel.WaterQuality/Cd,Cadmium. Concentration of Cadmium
Chla,https://smartdatamodels.org/dataModel.WaterQuality/Chla,Concentration of chlorophyll A
Cl-,https://smartdatamodels.org/dataModel.WaterQuality/Cl-,Concentration of chlorides
Cr,https://smartdatamodels.org/dataModel.WaterQuality/Cr,Chromium. Concentration of Chromium
Cr-III,https://smartdatamodels.org/dataModel.WaterQuality/Cr-III,Chromium III. Concentration of chromium at the oxidation state +3
Cr-VI,https://smartdatamodels.org/dataModel.WaterQuality/Cr-VI,Chromium VI. Concentration of chromium at the oxidation state +6
Cu,https://smartdatamodels.org/dataModel.WaterQuality/Cu,Copper. Concentration of Copper
Fe,https://smartdatamodels.org/dataModel.WaterQuality/Fe,Iron. Concentration of Iron
Hg,https://smartdatamodels.org/dataModel.WaterQuality/Hg,Mercury. Concentration of Mercury
N-TOT,https://smartdatamodels.org/dataModel.WaterQuality/N-TOT,"Total Nitrogen. otal Nitrogen (TN) is the sum of nitrate-nitrogen (NO3-N), nitrite-nitrogen (NO2-N), ammonia-nitrogen (NH3-N) and organically bonded nitrogen"
NH3,https://smartdatamodels.org/dataModel.WaterQuality/NH3,Concentration of ammonia
NH4,https://smartdatamodels.org/dataModel.WaterQuality/NH4,Concentration of ammonium
NO2,https://smartdatamodels.org/dataModel.WaterQuality/NO2,Nitrite nitrogen. Concentration of a sample in nitrite nitrogen
NO3,https://smartdatamodels.org/dataModel.WaterQuality/NO3,Concentration of nitrates
Ni,https://smartdatamodels.org/dataModel.WaterQuality/Ni,Nickel. Concentration of Nickel
O2,https://smartdatamodels.org/dataModel.WaterQuality/O2,"Level of free, non-compound oxygen present"
P-PO4,https://smartdatamodels.org/dataModel.WaterQuality/P-PO4,Phosphate-phosphorus. Concentration of phosphorus as phosphate
P-TOT,https://smartdatamodels.org/dataModel.WaterQuality/P-TOT,"Total Phosphorus. Total phosphorus is a measure of all forms of phosphorus in the water, including dissolved and particulate, organic and inorganic"
PC,https://smartdatamodels.org/dataModel.WaterQuality/PC,Concentration of pigment phycocyanin which can be measured to estimate cyanobacteria concentrations specifically
PE,https://smartdatamodels.org/dataModel.WaterQuality/PE,Concentration of pigment phycoerythrin which can be measured to estimate cyanobacteria concentrations specifically
PO4,https://smartdatamodels.org/dataModel.WaterQuality/PO4,Concentration of phosphates
Pb,https://smartdatamodels.org/dataModel.WaterQuality/Pb,Lead. Concentration of lead
Se,https://smartdatamodels.org/dataModel.WaterQuality/Se,Selenium. Concentration of Selenium
Sn,https://smartdatamodels.org/dataModel.WaterQuality/Sn,Tin. Concentration of Tin
THC,https://smartdatamodels.org/dataModel.WaterQuality/THC,Total hydrocarbon. Concentration of total hydrocarbon
TKN,https://smartdatamodels.org/dataModel.WaterQuality/TKN,Total Kjeldahl Nitrogen. A measure that determines both the organic and the inorganic forms of nitrogen
TO,https://smartdatamodels.org/dataModel.WaterQuality/TO,Total oil content. Concentration of oil
Zn,https://smartdatamodels.org/dataModel.WaterQuality/Zn,Zinc. Concentration of Zinc
alkalinity,https://smartdatamodels.org/dataModel.WaterQuality/alkalinity,The alkalinity of water is its acid-neutralizing capacity comprised of the total of all titratable bases
anionic-surfactants,https://smartdatamodels.org/dataModel.WaterQuality/anionic-surfactants,Concentration of anionic surfactants
bod,https://smartdatamodels.org/dataModel.WaterQuality/bod,Biochemical oxygen demand (BOD) is the amount of dissolved oxygen (DO) needed (i.e. demanded) by aerobic biological organisms to break down organic material present in a given water sample at certain temperature over a specific time period
cationic-surfactants,https://smartdatamodels.org/dataModel.WaterQuality/cationic-surfactants,Concentrtation of cationic surfactants
